,content,label
8552,12:30【证监会今年首罚：两人用196个账户操控股价亏逾3亿被罚百万】嗨牛财经讯，证监会2021年1号行政处罚和2021年1号市场禁入决定书显示，熊模昌、吴国荣因操纵华平信息技术股份有限公司（华平股份，300074）股票价格，利用196个账户亏损3.24亿元，熊模昌被给予警告，合计处以205万元罚款，吴国荣被...全文,事实
4377,【恰恰瓜子在坑爹？[怒]】恰恰瓜子在美国1.99美元，买一箱，折合成人民币，也就是12.4元人民币一箱。一箱有18包，也就是6毛8分钱1袋。在中国超市里面，这样一袋要6.9元。也就是美国超市的恰恰瓜子是中国是10倍。美国佬拿着10倍于中国人的工资，却买着10分之1价格的产品。相差100倍的消费水平啊！,谣言
8481,【小米收购MSNLite布局桌面客户端对抗微信】小米公司今日宣布，已经完成对国内IM软件MSNLite团队的收购。MSNLite团队进驻小米后将重点负责米聊PC客户端的研发工作，该版本将于近期上线。MSNLite是基于微软MSN的第三方客户端软件。网页链接,事实
6520,你最喜欢的超级英雄是哪一个？,事实
4219,一只幼猴紧紧搂住即将被“活取猴脑”的妈妈。（转）,谣言
8329,4月6日凌晨3时许，南宁，大货车司机酒驾和小客车发生事故，不接受民警检查，撞车、逃逸，后被抓获！涉嫌酒驾、寻衅滋事、故意毁坏公私财物，南宁警方将对其进一步处理！醉醒轩主的...,事实
6026,黎智英涉诈骗案押后至明年4月中再讯，国安法法官苏惠德指其潜逃风险大，拒绝其保释，须即时还押。#头号博主说##黎智英被控诈骗不准保释#,事实
3984,【人神共愤请永定县县长道歉！[怒] 】 已离世30多天的20岁福建龙岩“大肚女孩”苏田田永远无法知道，她患病期间人们捐助的5万多元爱心款，一直停留在红十字会账户中。永定县红十字会称，“县里换届，卫生局长还没到位，没有他的签字，我们不能转出”。搜狐：http://t.cn/anm1R9,谣言
5186,《加拿大拒绝了孟晚舟获释！够奇葩，感染人数破8万才呼吁戴口罩》相信大家今天早上都看到了一个消息：加拿大法院裁定孟晚舟符合“双重犯罪”标准，未能获释。而加拿大累计确诊人数达到8.7万多人次，死亡人数达到6700多人。网页链接,事实
1726,这个孩子在河北廊坊香河县华联超市门口，这照片是谁拍的，孩子父母已经看到，请拍照片的朋友联系13958609296 ～速度转！ ,谣言
7546,【新冠病毒肺炎】全国首个批准上市的对新冠肺炎具有潜在疗效的药物，法匹拉韦已开始紧锣密鼓生产，预计在2月下旬投放市场。第一批预计产出十万片。随着产能不断扩大，法匹拉韦未来月产能或将达到一千万片。此外，除了法匹拉韦外，国家科技部所提到另外两款药品，瑞德西韦与磷酸氯喹也正在进行相关的试验。广州呼吸健康研究院教授杨子峰18日表示，目前，广东多个医疗以及科研机构在P3实验室分离出病毒后展开了药效筛选，筛选了54个已上市的中药，开展了抗新冠肺炎病毒的体外药学研究。初步发现，连花清瘟和六神胶囊丸等5个中成药在体外实验中有抑制新冠病毒的作用。,事实
8968,教给大家口水鸡的美味做法，爱吃的快学起来！[花心],事实
7600,【住房公积金提取条件拟放宽自由职业者或可自缴】住房城乡建设部近日起草条例称，“新版”公积金管理条例对提取条件进一步放宽。首先明确购买、建造、大修、装修自住住房、无房职工支付自住住房租金、职工支付自住住房物业费，均可以提取住房公积金。将来，自由职业者也可以缴存住房公积金。,事实
7526,失眠了陪甜小甜睡让甜妈养成了夜晚极度轻睡眠的状态，一晚上要醒无数次给娃盖被子！今夜，更是彻底无眠！好在我的娃今晚已经能接受睡袋了，相信，我们的睡眠💤都会越来越好的，一切都会越来越好！,事实
5696,【西藏第一家肯德基明年开业】据路透社12月9日报道，美国快餐行业巨头肯德基决定于下月在西藏自治区开设首家连锁店，餐厅大约540平方米。早在2004年肯德基就计划进驻西藏。当时达赖喇嘛写信给肯德基，要求他们放弃开设计划，理由是杀鸡是对动物的残害，西藏人很少人吃鸡和鱼。http://t.cn/R4zxEsR,事实
4832,【#醉驾男遇交警查车逃跑被控制#】11月27日晚，哈尔滨市交警支队道里大队五中队在安国街与安红街交叉口设卡查车，一辆轿车停在路边后，从车上下来两名男子向反方向逃跑，最后二人被控制。经现场呼气式酒精检测，二人均达到醉驾标准。其中驾驶员将依法追究其刑事责任，其驾驶证将面临吊销，五年内不得重...全文,事实
4983,巴黎刘先生被警察枪杀后，虽然引起媒体关注，但政客极少发声。前日，总统候选人Macron协同一帮大人物去看完死者家属，在华界引发争论，一方表示认可他对华人的关心，另一方则怒斥其嘻嘻哈哈地作秀（图二）。-巴黎人报则从另一个角度看问题：Macron会见的是中国间谍!当然，昨天是4月1日...展开全文c,事实
2969,麻省理工零录取中国学生，斯坦福取消中国大陆面试。这是坏事儿还是好事儿？ ,谣言
4979,我从小怕老鼠，但是不怕蛇。后来，有位朋友知道此事，大为惊讶。我说，有什么好惊讶的，不是还有那么多人，某党治下都欢蹦乱跳的活着，反倒害怕什么“列强”么？,事实
5190,【#武汉在巴西和乌拉圭冻肉包装上检出病毒#】据武汉卫健委，12月5日，武汉市疾控部门按照武汉市关于“对进口冷链食品检测全覆盖”的要求，对洪山区昌晶冷链仓储中心进口食品进行常规新冠病毒核酸监测检测时，发现巴西进口冷冻猪小里脊肉和乌拉圭进口冷冻去骨牛肉包装样本上各有1份检测结果呈阳性。市区...全文,事实
7509,【内地无新增确诊疫情以来首次】中国全国新冠肺炎确诊病例，累计8万4千多例，4千6百多人死亡。内地22号没有新增确诊病例和死亡病例，是疫情以来的首次出现零新增。另外，无症状感染者新增28例，其中2例是境外输入。内地现存确诊病例，仍以吉林最多，其次是内蒙古、上海、湖北和北京。港澳台方面，香港累计确诊1065例，台湾441例，澳门45例。,事实
6724,"【狗贩用""美狗计""害狗近千条卖给饭馆[怒]】日前在河南，两狗贩用母狗作诱饵，诱群狗上钩，随后用剧毒和高压电将其致死后卖到饭馆。一次作案时被民警发现，逃跑中两人弃车脱身。民警调查发现两人踪迹，随后抓捕归案。经审讯，两人流窜作案多起，偷狗达900多条。目前此案仍在审理。http://t.cn/RUDtCRn",事实
6014,信任，就是这么建立起来的，好有爱！！！[赞],事实
1896,在川音抓了两个暴徒 跑了一个 小心点@巫佳沭BojanKrkic @黄星雨芭啦啦小魔仙人板板 @失眠张二娃 @ll梁欣勒ll @费列罗陈毅千万不要去自贡！！ ,谣言
5834,炒股养家：创业板今天不负众望，没有收阴，还收出了实体阳线，虽然成交量明显缩量，但是日线级别没有出现顶分型就是好消息。同时，MACD红柱子也在放长，黄白均线向上的趋势明显，2200点，明天应该是可以到的。而且，这一笔上涨笔到2200点，本级别是不会出现顶背驰的，也就是说，这里一旦冲高出现回落，是抓创业板冲击2293高点的一个大机会。指数安全，个股是会有轮动表现。还是切忌追涨杀跌。题材乘联会6月8日发布数据，中国5月份广义乘用车零售销量同比增加1.9%，为11个月来首次同比上涨，新能源乘用车批发销量7.02万辆，同比下降25.8%，环比4月增长19.5%；特斯拉国产Model3销量为11095辆，环比增长205%。在全球市场政策推动需求释放的大背景下，全球新能源汽车周期向上，动能充足，当前特斯拉处于一枝独秀状态，Q1全球电动车市场份额29%；据兴业证券预计，6月大概率超过20000辆，加上5月的销量两组数据连续超市场预期，边际变化明确，反映出优质供给对于消费端巨大的吸引力。2020年全年国产特斯拉交付量将达到15万辆，市占率12.5%，到2025年有望实现87万辆，全球销量预计2020年交付55万辆，市占率20%-25%，2025年随着皮卡、半挂式卡车的推出，产品线不断丰富，销量有望突破300万辆，市占率20%；特斯拉等主流车厂的全球市场持续突破超预期，国内产业链进一步打开潜在的销量空间，后续的稳态销量水平有望得到一定的提升。关注京威股份，全资子公司无锡威卡威汽车零部件有限公司与特斯拉（上海）有限公司签订了产品零件或服务通用条款合同、产品定价协议，特斯拉向无锡威卡威采购汽车外饰件产品。持仓持仓股中，今天机场最好，创出了近期新高，很快就能回到80以上。宁德最近不声不响，今天也创造了近期新高，离历史新高也不远了，近期是以震荡上行的走势在运行，终结的时候应该会出现一波急拉。泸州离100还差一点，汇顶能给一笔下跌是最好的。观点消息面上，台积电因无法取得美国政府许可，120天后无法对华为海思出货，所以将华为海思原本预订的第四季先进制程产能已开放给其它客户，包括苹果、高通、联发科、超微等大客户立即追加下单，第四季7奈米产能将维持满载，5奈米利用率亦维持高档。技术方面，台积电已开始加快下一代2nm节点的研发，为此最近购买了更昂贵的极紫外光刻机，作为全球第一大晶圆厂，台积电将在2020年第四季度开始生产5nm的产品，3nm节点将于2021年上半年投入试生产，而批量生产应于2022年开始。而对比国际主要晶圆代工企业，国内第一、即将登陆科创板的中芯国际，去年才实现14nm的量产，制程落后台积电好几代！另外美军机被曝罕见沿台湾西海岸飞行，台当局“批准降落5分钟”传言未获证实，消息面、情绪随时还有可能反复影响A股。对价投来说，指数真不重要，但对整个市场的意义还是挺大的；就比如今天的创指，就是几支创业板权重股上涨所带动，表面上看起来不错，一定程度的确会刺激情绪或资金入场，这就是实际意义。明天公布CPI，预期破3%，破3%的话就会有放水预期，今天的证券异动和市场强于预期都有一定关联。#今日看盘##股市##股票#,事实
7333,"我提出了问题&quot;洛阳专升本培训机构克扣老师，助教工资和学生的退费，怎么办?&quot;,科大双赢专升本，我之前交了3万块左右，签了一个协议，考不上退钱，...洛阳专升本培训机构克扣老师，助教工资和学生的退费，怎么办?",事实
1597,求转发！谢谢！ 杭州老余杭中泰那边！要建设日烧3000吨的垃圾焚烧发电厂！亚洲第一垃圾堆来了!将万劫不复!余杭中泰二十余个自然村组长，村民代表无力抗争!愧对村民!集体辞职!!!抗议造成群众死亡3人，一个3岁小孩在妈妈怀抱中被特警抢走从立交桥摔死，这就是省政府的清场行动，现场一直增援特警几千 ,谣言
6932,还记得之前在电视直播中抢镜爆红的小男孩吗？最近，他的梦想成真了。。。,事实
3206,重庆又见高空撒钱！知情人称疑土豪患病后用直升飞机洒钱！#社会新闻# 每日来看新鲜事儿的微博视频 ,谣言
8678,今天是《老友记》Joey扮演者马特·理勃兰MattLeBlanc的45岁生日！Howyoudoin'?1967年7月25日出生于美国马萨诸塞州牛顿市，因在情景喜剧《老友记》（Friends）中出演JoeyTribbiani一角而知名。目前他在出演喜剧《戏里戏外》（Episodes）。[蛋糕],事实
8725,【一读就错的姓，你读对了吗？】中国文字博大精深，一些常用字作为姓氏时，读法又大不同：①朴，读piáo，不读pǔ。②仇，读qiú，不读chóu。③单，读shàn，不读dān。④解，读xiè，不读jiě。⑤任，读rén，不读rèn。⑥尉迟，读yùchí，不读wèichí…戳图自测，你哪几个读错了？@人民网,事实
7883,国际米兰下赛季欧冠首发十一人大名单球迷预测图元芳，你怎么看？！#蓝黑Instagram#,事实
1867,谁群最多，帮忙转一下，找一名职中学生，叫刘冻雪，16岁，请速回鲁甸县医院，妈妈在地震伤的很严重，想最后见她一面，姐姐号码：13751977218，爱心接力，好人有好报（看了有何感受？8月3号云南鲁甸的6，5级地震已造成398人死亡。地震局曾被媒体列为混吃混喝的九大部门，我看相当准，无为而致。） ,谣言
7357,【昨晚柯桥一厂房发生火灾一名消防战士不幸牺牲】3月13日18时26分，绍兴市柯桥经济开发区欧华企业一厂房发生火灾，经消防部门合力扑救，明火于22时40分被扑灭。绍兴市消防支队柯桥中队副班长邢骏在救援过程中受伤，经抢救无效于3月14日早晨6时46分不幸牺牲。火灾事故原因正在调查中。,事实
2174, 就在刚刚，美国出大事了！                  纽约皇后区发生商业街大爆炸事件，又一次911。美国的电视已经在报道。 神魔量合的微博视频 ,谣言
6691,#微感动#【“顺其自然”，如期而至[心]】近日，浙江宁波市慈善总会收到85万元汇款，这样的汇款自1999年起每年如期而至，数额几万到几十万不等。汇款都来自一个化名“顺其自然”的好人，至今17次匿名捐款已达768万！该慈善总会将用这85万帮明年的困难大学新生。为不图回报的好人点[赞]（央视记者刘浪）,事实
4536,德国媒体消息：新iPhone将于9月15日开启预定。这个消息也与此前传言的9月12日苹果召开发布会时间点比较吻合。与6.5和5.8相比，我更好奇的是6.1的边框能有多窄？,事实
5708,【#中国旅游日#迪庆州三重好礼邀您畅游#世界的香格里拉#】在5月19日“中国旅游日”到来之际，迪庆州文旅局在辖区内所有景区继续推出系列活动。中国旅游日当天，到迪庆旅游的游客，会享受到三重旅游优惠，且景区门票优惠将持续到年底，其他活动将永久有效。中国旅游日迪庆州三重好礼邀您畅游“世界的香格里拉”,事实
3833,【 被当街摸阴部时反抗，女孩遭官二代狂砍！】靖江市公安局长陆胜民及市政府公务员陆建波之子当街对刘某女孩非礼（摸奶、摸阴部)，遭女孩反抗，两人一气之下从车上拿出砍刀连砍刘某34刀，并当众狂叫：贱女人你逼是金做的？摸一下会死？砍死你！知道我们是谁吗？女孩叔叔和弟弟讨要说法，被警方关押。,谣言
1356,谢谢阜城人民帮忙！ 求扩散，今天上午一个小女孩在大润发超市附近被人拐走了，小女孩三岁多，能准确说出她爸爸的手机号码，，从监控上看是被一个四十多岁男人抱走了，现大人都急疯了，有知情者请告之，万分感谢！帮忙转发！！（大家抓紧转发，给宝贝儿多一个回家的机会！！！） ,谣言
8605,三色事件及携程幼儿园事件，除了道德及良心，还有个因素之一就是公司为了商业利益，给老师工资过低也是其中一个原因吧。北京上海，给幼儿园老师才3000元一个月，极容易诱发情绪性报复。（像我这样老板，给公司所有员工每个人都是10万元月薪，他们不会做坏事）,事实
7502,【优化布局健全城乡医卫服务体系】医疗卫生机构的布局和建设，关系到人民群众的健康和生命安全，是解决百姓“看病难”问题的一项重要举措。市卫健委近日发布《天津市医疗卫生机构布局规划（2015-2035年）（2019年修订）》，明确了未来天津医疗卫生机构具体布局规划。根据规划，全市医疗卫生用地规模由现状510公顷增加到1100公顷左右，可容纳的总床位由现状6.8万张增加到12万张左右。每个区或人口达到30万-50万人的地区至少设置1个三级综合医院、1个二级及以上中医医院。http://t.cn/A6Us8s0s,事实
3016,近日美国军舰在台湾海峡航行，中国驻美国大使公使李克新发言说：美国军舰抵达高雄之日，就是我解放军武力统一台湾之时！ 风之子FC的微博视频 ,谣言
8221,【南海舰队攻防演练检验立体登陆作战能力[威武]】近日，南海舰队某部在南海某海域进行一场远程奔袭立体登陆作战演练，多型气垫登陆艇悉数亮相。演练突出自主对抗，不设预案，各种敌情临机设置，最大限度检验各级指挥员应对突发情况的能力。戳图↓为中国海军点赞[赞]！（央视记者黎友陶何椿）,事实
990,私家车6年免年检，但违章必须5月23日前处理掉，不然商业险提高10%@萧内网萧山论坛 @萧山微联盟 这消息真的假的？ 我在:203省道 ,谣言
7880,"刚看到个活动叫“一句感动过你的文言""，评论有说是《项脊轩志》中的“庭有枇杷树,吾妻死之年所手植也,今已亭亭如盖矣”，有说是《木兰辞》中的“同行十二年，不知木兰是女郎”，我的答案是游褒禅山记中的一句，“有穴窈然，入之甚寒，问其深，则其好游者不能穷也，谓之后洞。入之愈深，其进愈难。”",事实
2348,四川省宜宾地区发生地震后，引发当地泥石流山洪爆发，某日14时余，有一条长达120米，宽度腰围1.5米左右，从河中游上了岸。当地有关政府立即下令：       不容许任何单位或者个人伤害其性命，否则将严惩不怠！       引来无数群众围观，有关专家专机立即前往实地考察、调研…………祈祷灾区人民平平安安！风调雨顺！！！,谣言
4417,【风度和教养】领导和姚明一家合影，领导们当仁不让的站到了姚明一家的前面，姚明的母亲几乎被挡住，第二批上来的是姚明火箭队的美国人，给姚明老婆和母亲全部让位。。。。。（via@广州刘云云）——2011年7月21日,谣言
26,中国的贪官贪污手段及证据！相互转告！以免盲目捐款！#四川雅安地震##捐款##为雅安灾区捐款# ,谣言
2317,#河南玛莎拉蒂#永城玛莎拉蒂95后女富二代车主 特大交通事故  明珠花园撞死3人 东方花园撞伤8人逃逸 永兴街外环撞宝马740，车上4人烧死。 性质恶劣，影响重大 ,谣言
4700,明世教育机构专升本是骗子机构大家千万不要上当他们用字眼协议套路你贷款上课不给退款前期给你误导宣传,事实
4112,#小道#【这才是今天新浪微博当机的真相！】1月21日中午12点30分~1点15分，新浪微博管理员徐某擅自挪用服务器带宽下载CL网爱情动作片42GB，造成新浪微博服务器负载瞬间加大，导致无法访问。目前徐某已经被停职，其下载影片的硬盘已经被领导没收。请问@微博小秘书，您姓徐么？,谣言
8609,#爱奇艺遭美国证监会调查#事实证明，想去国外搂钱，尤其是美国这样的，你就要随时做好股票跌停被迫破产或者拍卖，公司老总不能出国，出国就被抓的准备。,事实
7379,【客人在宠物店充电结果电池爆炸起火】6月21日凌晨，杭州下沙一家宠物店起火，店主查看监控发现，火灾很可能是由正在沙发上充电的一块电池爆炸引发的。而这块电池来自一把电动玩具枪，是一名男性客人当天晚上11点左右放在店里充电的，起火时已经连续充了近5个小时。现在店铺长时间不能开业，店主估计自己已损失20万元。据说，这位客人一开始承认自己有错，后来却又“翻脸不认”了。店主该怎么办？#客人在宠物店充电发生爆炸起火#http://t.cn/A6yIXabl,事实
1259,小品演员黄宏被抓！下一个会是谁？ ,谣言
8931,#兰州身边事#【兰州大学生被民警暴力执法调查结果公布：情况属实！派出所所长等人停职】据@兰州榆中公安，经调查，网上情况属实。研究决定，对负有领导责任的和平派出所所长、教导员及分管和平派出所的县公安局副政委停止执行职务；对涉事民警宋冬冬、未得文先行采取禁闭措施，县纪检监…...展开全文c,事实
492,新人民币即将上市 太漂亮了，你每月能赚几张？ ,谣言
1160,刚学了个知识，和大家分享一下：如何判断你的牙膏是否健康。在每个牙膏袋的尾部都有个色块，绿色表示牙膏成份纯天然，蓝色表示天然且含药物，红色表示含化学成份，黑色表示纯化学成份合成。建议大家使用绿色和蓝色的，快看看你家的牙膏健康吗?,谣言
5432,【中韩中澳自贸协定今起生效哪些商品马上免税】澳大利亚的龙虾制品、罐装鲍鱼等将立即取消关税；韩国西洋参、天麻等关税也降为零；但澳大利亚奶粉、牛排，韩国化妆品，则没有马上免税，澳大利亚配方奶粉4年后才完全免税…有专家指出，降税范围虽广，但过程较长，降税的优惠不会立刻体现在终端价格上。,事实
6000,【新浪博客十周年庆典之回顾篇】博客作为Web2.0时代的代表，在2005年成立后，汇聚大批明星博主，名人效应驱使下，写博客风靡一时。新浪网副总裁、新闻总编辑周晓鹏在庆典致辞中特别表示，向所有新浪博客的支持者说声谢谢。随后“十年十人”宣传片介绍了博客如何影响十位博主。http://t.cn/RU1QAt2,事实
4121,通过长达十天两会的召开.新的婚姻法中规定 男女双方只要年满18周岁就可以结婚.并不是之前女方满20周男方满22周才可制成婚约.如今结婚证是国家级证书.高考时还可加3学分.现在在大学期间结婚.学费还可减半;跨民族结婚 生一个孩子奖励一万.请大家相互转告.好完成那些早婚人的梦想.,谣言
3062,俄罗斯巡逻员都这么剽悍#俄罗斯放800只老虎狮子上街# ,谣言
4854,#人民武警#8月11日20时至8月13日12时，湖北咸宁地区普降大到暴雨，局部出现特大暴雨。8月13日中午13时许，武警湖北省总队咸宁支队接到任务后紧急出动，支队长廖光明率支队机关前指及机动分队50名官兵，出动车辆6台，携带救援绳20根、皮划艇3艘赶赴受灾地进行救援。主要担负城区主干道各交通路口现场警戒及转移内涝地区受困人员、物资任务。截至当晚21时，经过武警官兵们近8小时连续奋战，共计转移受困群众1000余名，帮助挽回经济损失20余万元。(曹峰何智利摄影报道),事实
7104,#睡衣棉拖美女怒撕法律文书#山西省临汾市洪洞县出来奇葩女。欺负交警蜀黍也就算了，撕毁法律文书可是要做牢哦！http://t.cn/RVHcsKV,事实
8360,#郎摘新闻#【群众咨询遭遇政府雷人回复：不说话没人把你当哑巴】安徽蒋女士2日向“贵池区人民政府发布”微信平台发送一条咨询信息，收到的回复却是“你不说话没人把你当哑巴”“我仿佛听见了一群蚊子在嗡嗡嗡”……官微如此神回复引热议。对此官方回应，官微自动托管，此次意外系“系统自动回复”所...展开全文c,事实
2268,由于上周发生上下客区交通事故导致一名横穿机动车道旅客死亡事件，浦东机场上下客区机动车限速已降至20km/h，请一定要注意！ ,谣言
972,#大润发小孩被拐走#昨天还看到各种辟谣，今天真真切切地发生在身边了，同事兄弟的小孩（三岁多，小女孩）昨天晚上在这边大润发被一个四十多岁的女人抱走了，至今没有找回来。在监控里面，小孩子没有哭闹，估计是被下了药，至今没有找到。。有孩子的父母，到人多的地方要注意管好孩子，别撒手…… ,谣言
8444,台湾网路疯传这则消息。。有人知道这个新闻的真实性吗？,事实
4443,网上看到的，好讽刺：安利老板死了！才56岁，吃了27年纽崔莱。安利成冠3S系统创始人陈观田因肝癌56岁去世，干了27年安利，吃了27年纽崔莱。安利网络21系统创始人吉米道南2013年8月13日去逝，65岁，用了安利产品四十三年。高科技萃取工艺破坏了天然食物，真的不能乱吃保健品!,谣言
3350,核酸检测增加肛拭子检测后。只有经历过的人才知道…… #搞笑视频##迷惑行为大赏##小视频星辰计划# 橙熟的逗比炮的微博视频 ,谣言
7984,【#错换人生案医院回应被判赔76万#：服从判决，会尽快支付】12月7日，河南开封。#错换人生28年案一审宣判#，判决河南大学淮河医院赔偿各项费用76万余元。原告代理律师称，针对姚策的后续治疗费用，仍可以向医院主张权利。医患办张主任表示服从判决，履行义务，将尽快支付赔偿金。@一手Video...全文,事实
2916,这是年仅十九岁的消防战士董泽鹏，在8.12爆炸故事中第一次进去，他们整个中队都牺牲了。第二次明知进去就可能出不来了，但他还是义无反顾地走了进去。结果再也没能出来。这是他留给我们最后的影像…心痛，19岁美好的生命，那么坚定的步伐，那么决绝的背影，让人泪目！铭记，英雄壮烈！致敬，最可爱的人！#人间观察# #奇闻异事# ,谣言
1305,亲爱的微信全国各地的朋友们，家人，亲人们！请大家帮忙转载！辽宁省抚顺市清原县南口前发生特大洪水，山体滑坡！死亡人数正在增加！公安、武警和雷锋团正在夜以继日，全力抢救。需要大量的水、食物、衣服…救救苦难的人们！…谢谢感恩大家…祝顺利度过难关！[爱心传递][爱心传递][爱心传递][爱心传递] ,谣言
4096,【一个死囚的40分钟 “天价”生命】54岁的美国死囚乔·哈里斯，应在2012年11月27日下午两点执行死刑，死前最后一餐，这家伙吃了大餐还喝了红酒，没想突发脑溢血当场挂了，早死了40分钟。其亲属因此状告监狱，明知高血压还让喝酒，让他丧失了40分钟的美好生命。最后，官司赢了，亲属获赔350万美元。(转),谣言
1135,@盖世大小姐: 新浪可以自己直接后台通过篡改数据，找一些平常不太用活跃度不高的账号，直接转发，所以不是盗号，不牵扯密码问题。这属于严重侵犯用户隐私。,谣言
2854,84岁钟南山院士再度出征！ 军人之家的微博视频 ,谣言
2931,"【#虎门大桥# 】我就觉得此前那样专家不靠谱，很多专家早无底线。问题终于找到了：38号吊索钢丝绳断裂！发生于钢箱梁内侧锚头处，旧索从内面外发生锈蚀，目前已经拆除吊索，又发现多根出现锈蚀。主缆开揽检查发现中跨跨中位置均有3-4层腐蚀严重的钢索。 这件事让我担心起一些两限房的质量来……我想说的，已无勇气说出来，你懂就好<img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png""                 style=""width:1em; height:1em;"" />",谣言
1984,#埃航坠机现场视频曝光# GEM烟熏妆的微博视频 ,谣言
611,"万一你被歹徒挾持去提款时,你可以用倒着輸入密码的方式去间接知会警方。 例如你的密码是 213516的話，你可以输615312， 提款机会识別到你是以倒着方式输入密码， 提款机会按你要求秀出金额， 但是会在匪徒不知情的情況下通知警方! 请尽可能告诉给每一个人，以备不时之用。提款机还这功能大家得知道！ ",谣言
