text,label
Tekla Group 's net sales for 2005 were approximately 38 million euros .,neutral
"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .",neutral
The amendment will not incur additional costs .,neutral
The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .,neutral
The company closed last year with a turnover of about four million euros .,neutral
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",positive
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive
"Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica , including their electrical systems , are fully in working order .",positive
Talvivaara has secured a 10-year off-take agreement for 100 per cent of its main output of nickel and cobalt to Norilsk Nickel and entered into a long-term zinc streaming agreement with Nyrstar NV .,positive
TeliaSonera has secured deliveries for 4G modems with support for 3G and 2G during the second quarter 2010 .,positive
"The 50-50 joint venture , to be called Nokia Siemens Networks , will be comprised of Nokia 's network business group and Siemens ' carrier-related operations , creating estimated synergies of 1.5 billion euros ( $ 1.9 billion ) by 2010 , Nokia said .",positive
The acquisition of Boomeranger Boats Oy is in line with the Done Solutions strategy of developing its business through company acquisitions .,positive
The actions are expected to deliver annual cost savings of some EUR15-20m .,positive
The announced restructuring will significantly decrease the Company 's indebtedness .,positive
The companies expect the first orders already in 2011 .,positive
The company also expects to sell its products in other Russian region .,positive
The company feels these leases are prime locations due to several producing formations in the immediate area .,positive
The company is well positioned in Brazil and Uruguay .,positive
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,positive
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive
The diesel margin has remained high .,positive
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",positive
The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,positive
"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .",positive
The group will expand the chain to include 45 stores .,positive
